type_set,type,published
Historic Preservation Property Attributes,Unknown,TRUE
Historic Preservation Property Attributes,Single family property,TRUE
Historic Preservation Property Attributes,Multiple family property,TRUE
Historic Preservation Property Attributes,Ancillary building,TRUE
Historic Preservation Property Attributes,Hotel/motel,TRUE
Historic Preservation Property Attributes,1-3 story commercial building,TRUE
Historic Preservation Property Attributes,3+ story commercial building,TRUE
Historic Preservation Property Attributes,Industrial building,TRUE
Historic Preservation Property Attributes,Public utility building,TRUE
Historic Preservation Property Attributes,Theater,TRUE
Historic Preservation Property Attributes,Engineering structure,FALSE
Historic Preservation Property Attributes,Civic auditorium,FALSE
Historic Preservation Property Attributes,Community center/social hall,TRUE
Historic Preservation Property Attributes,Government building,TRUE
Historic Preservation Property Attributes,Educational building,TRUE
Historic Preservation Property Attributes,Religious building,TRUE
Historic Preservation Property Attributes,Railroad depot,TRUE
Historic Preservation Property Attributes,Train,FALSE
Historic Preservation Property Attributes,Bridge,TRUE
Historic Preservation Property Attributes,Canal/aqueduct,FALSE
Historic Preservation Property Attributes,Dam,TRUE
Historic Preservation Property Attributes,Lake/river/reservoir,FALSE
Historic Preservation Property Attributes,Ship,FALSE
Historic Preservation Property Attributes,Lighthouse,FALSE
Historic Preservation Property Attributes,Amusement park,FALSE
Historic Preservation Property Attributes,Monument/mural/gravestone,FALSE
Historic Preservation Property Attributes,Folk Art,FALSE
Historic Preservation Property Attributes,Street furniture,FALSE
Historic Preservation Property Attributes,Landscape architecture,FALSE
Historic Preservation Property Attributes,Trees/vegetation,FALSE
Historic Preservation Property Attributes,Urban open space,FALSE
Historic Preservation Property Attributes,Rural open space,FALSE
Historic Preservation Property Attributes,Farm/ranch,FALSE
Historic Preservation Property Attributes,Military property,FALSE
Historic Preservation Property Attributes,CCC/WPA property,FALSE
Historic Preservation Property Attributes,Ethnic minority property (list group),FALSE
Historic Preservation Property Attributes,Highway/trail,FALSE
Historic Preservation Property Attributes,Women's property,FALSE
Historic Preservation Property Attributes,Other,FALSE
Historic Preservation Property Attributes,Cemetery,FALSE
Historic Preservation Property Attributes,Hospital,TRUE
Historic Preservation Property Attributes,Stadium/sports arena,FALSE
Historic Preservation Property Attributes,Mine structure/building,FALSE
Historic Preservation Property Attributes,Adobe building/structure,FALSE
Historic Preservation Property Attributes,Unreinforced masonry building,FALSE
Historic Preservation Property Attributes,Walls/gates/fences,FALSE
Commercial,Mortuary/Funeral Home,TRUE
Commercial District,Corridor,FALSE
Commercial District,Neighborhood/Village Commercial Center,FALSE
Commercial District,Node,FALSE
Commercial District,Other,TRUE
Commercial District,Shopping Center,TRUE
Commercial District,Shopping Mall,FALSE
Commercial-Auto Related,Auto Body/Repair,TRUE
Commercial-Auto Related,Car Sales/Auto Showroom,FALSE
Commercial-Auto Related,Carwash,TRUE
Commercial-Auto Related,Custom Car Builder,FALSE
Commercial-Auto Related,Gas/Service Station,TRUE
Commercial-Auto Related,Other,TRUE
Commercial-Auto Related,Parking Structure,FALSE
Commercial-Auto Related,Service Station with Carwash,FALSE
